JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2451354.280555556, A.D. 1999-Jun-24 18:44:00.0000, -4.003780290427586E-01, -6.102546614540225E-01,  1.454923793262452E-02,  1.686449174531160E-02, -1.105678721111465E-02, -1.124254845625709E-03,  4.216227269890426E-03,  7.300171219162930E-01, -2.886655685333888E-05,
2451354.281944444, A.D. 1999-Jun-24 18:46:00.0000, -4.003546058431987E-01, -6.102700176461019E-01,  1.454767645681226E-02,  1.686491561683337E-02, -1.105612938042520E-02, -1.124270323798885E-03,  4.216227038309357E-03,  7.300170818192739E-01, -2.887315065909071E-05,
2451354.283333333, A.D. 1999-Jun-24 18:48:00.0000, -4.003311820549459E-01, -6.102853729245162E-01,  1.454611495950363E-02,  1.686533946273744E-02, -1.105547153366135E-02, -1.124285800273729E-03,  4.216226806675397E-03,  7.300170417130968E-01, -2.887974443358299E-05,
2451354.284722222, A.D. 1999-Jun-24 18:50:00.0000, -4.003077576780362E-01, -6.103007272892434E-01,  1.454455344070116E-02,  1.686576328302324E-02, -1.105481367082413E-02, -1.124301275050217E-03,  4.216226574988543E-03,  7.300170015977616E-01, -2.888633817680160E-05,
2451354.286111111, A.D. 1999-Jun-24 18:52:00.0000, -4.002843327125050E-01, -6.103160807402611E-01,  1.454299190040702E-02,  1.686618707769016E-02, -1.105415579191453E-02, -1.124316748128330E-03,  4.216226343248797E-03,  7.300169614732686E-01, -2.889293188873547E-05,
2451354.287500000, A.D. 1999-Jun-24 18:54:00.0000, -4.002609071583878E-01, -6.103314332775468E-01,  1.454143033862380E-02,  1.686661084673761E-02, -1.105349789693356E-02, -1.124332219508050E-03,  4.216226111456159E-03,  7.300169213396174E-01, -2.889952556938260E-05,
2451354.288888889, A.D. 1999-Jun-24 18:56:00.0000, -4.002374810157203E-01, -6.103467849010784E-01,  1.453986875535366E-02,  1.686703459016500E-02, -1.105283998588222E-02, -1.124347689189353E-03,  4.216225879610631E-03,  7.300168811968086E-01, -2.890611921873301E-05,
2451354.290277778, A.D. 1999-Jun-24 18:58:00.0000, -4.002140542845381E-01, -6.103621356108334E-01,  1.453830715059903E-02,  1.686745830797173E-02, -1.105218205876154E-02, -1.124363157172220E-03,  4.216225647712212E-03,  7.300168410448418E-01, -2.891271283677373E-05,
2451354.291666667, A.D. 1999-Jun-24 19:00:00.0000, -4.001906269648767E-01, -6.103774854067898E-01,  1.453674552436232E-02,  1.686788200015721E-02, -1.105152411557250E-02, -1.124378623456630E-03,  4.216225415760901E-03,  7.300168008837173E-01, -2.891930642349640E-05,
2451354.293055556, A.D. 1999-Jun-24 19:02:00.0000, -4.001671990567717E-01, -6.103928342889249E-01,  1.453518387664574E-02,  1.686830566672085E-02, -1.105086615631611E-02, -1.124394088042563E-03,  4.216225183756699E-03,  7.300167607134350E-01, -2.892589997889958E-05,
2451354.294444445, A.D. 1999-Jun-24 19:04:00.0000, -4.001437705602588E-01, -6.104081822572166E-01,  1.453362220745186E-02,  1.686872930766205E-02, -1.105020818099339E-02, -1.124409550930000E-03,  4.216224951699608E-03,  7.300167205339952E-01, -2.893249350296570E-05,
